Date,Miles,Gallons,MPG,Odometer,Projected Odometer,
8/10/2016,345,9.974,34.59,74657,0,
8/12/2016,453.6,10.854,41.79,75113,75110.6,
8/31/2016,304.3,9.934,30.63,75418,75417.3,
10/8/2016,353.1,9.095,38.82,75751,75771.1,
10/14/2016,434.3,11.139,38.99,76185,76185.3,
11/4/2016,198.1,5.792,34.2,76383,76383.1,
11/8/2016,303.7,7.177,42.32,76687,76686.7,
11/23/2016,388.2,10.223,37.97,77075,77075.2,
12/9/2016,407.9,11.735,34.76,77483,77482.9,
12/18/2016,143.7,4.486,32.03,77628,77626.7,
12/22/2016,352.7,8.931,39.49,77980,77980.7,
1/16/2017,334.5,8.715,38.38,78583,78314.5,
2/10/2017,251.6,7.358,34.19,78835,78834.6,
2/25/2017,487.7,11.767,41.45,79323,79322.7,
3/12/2017,348.8,10.171,34.29,79671,79671.8,
3/26/2017,394.2,10.734,36.72,80065,80065.2,
4/1/2017,436.5,10.585,41.24,80502,80501.5,
4/29/2017,355.1,10.537,33.7,80857,80857.1,
5/6/2017,451.3,11.69,38.61,81308.3,81308.3,
5/21/2017,1132.1,29.29,38.65,82440,82440.4,
6/16/2017,438.1,11.001,39.82,82878,82878.1,
6/18/2017,405.2,11.113,36.46,83284,83283.2,
6/18/2017,425.9,10.442,40.79,83710,83709.9,
7/6/2017,409.4,11.404,35.9,84119,84119.4,
7/28/2017,334.5,9.93,33.69,84453.5,84453.5,
8/11/2017,789.4,20.198,39.08,85243,85242.9,
8/20/2017,320.1,10.863,29.47,85565,85563.1,
9/4/2017,374.9,11.228,33.39,85938,85939.9,
9/20/2017,343.1,10.892,31.5,86281,86281.1,
10/1/2017,363.9,11.242,32.37,86645,86644.9,
10/13/2017,346.1,10.975,31.54,86992,86991.1,
10/15/2017,325.6,10.463,31.12,87317.6,87317.6,
10/26/2017,405.7,11.509,35.25,89007,87723.3,
11/6/2017,366.8,11.098,33.05,89374,89373.8,
11/20/2017,357.6,11.811,30.28,89732,89731.6,
11/27/2017,390,11.181,34.88,90122,90122,
12/9/2017,288.1,8.469,34.02,90410,90410.1,
12/15/2017,183,6.287,29.11,90593,90593,
12/19/2017,331.9,9.408,35.28,90925,90924.9,
12/30/2017,405.1,10.834,37.39,91330,91330.1,
1/8/2018,370.2,10.742,34.46,91700,91700.2,
1/14/2018,293,9.164,31.97,91993,91993,
1/20/2018,371.7,10.529,35.3,92364,92364.7,
2/2/2018,341.7,10.829,31.55,92706,92705.7,
2/4/2018,361.5,11.119,32.51,93068,93067.5,
2/10/2018,357.7,11.038,32.41,93425,93425.7,
2/24/2018,333.2,9.754,34.16,93759,93758.2,
3/9/2018,333.8,10.199,32.73,94093,94092.8,
3/14/2018,261.7,8.232,31.79,94354,94354.7,
3/30/2018,366.7,11.481,31.94,95375,94720.7,
4/14/2018,396.5,11.503,34.47,95772,95771.5,
4/26/2018,352.9,11.349,31.1,96130,96124.9,
5/6/2018,388.9,10.954,35.5,96519,96518.9,
5/12/2018,317.5,9.102,34.88,96837,96836.5,
5/18/2018,391.7,10.88,36,97228,97228.7,
5/27/2018,375.5,11.753,31.95,97604,97603.5,
6/1/2018,393.5,10.615,37.07,97998,97997.5,
6/3/2018,356.8,9.231,38.65,98354,98354.8,
6/11/2018,348,10.574,32.91,98704,98702,
6/22/2018,323.3,9.111,35.48,99027.3,99027.3,
6/28/2018,406.3,11.402,35.63,99432,99433.6,
7/5/2018,304,9.014,33.73,99736,99736,
7/7/2018,319.8,8.683,36.83,100055.8,100055.8,
7/10/2018,411.8,11.324,36.37,100467.6,100467.6,
7/15/2018,303.6,8.019,37.86,100772,100771.2,
7/17/2018,364.4,10.435,34.92,101136,101136.4,
7/22/2018,355.2,10.368,34.26,101492,101491.2,
8/6/2018,371.8,10.201,36.45,101864,101863.8,
8/15/2018,332.2,9.553,34.77,102197,102196.2,
8/18/2018,386.2,10.672,36.19,102583.2,102583.2,
8/31/2018,343.2,10.763,31.89,102926.4,102926.4,
9/11/2018,190.4,7.245,26.28,103117,103116.8,
10/1/2018,254.5,10.31,24.68,103371,103371.5,
10/13/2018,210.3,6.821,30.83,103581.3,103581.3,
11/2/2018,151.4,7.605,19.91,103732.7,103732.7,
11/7/2018,448.6,11.763,38.14,104181.3,104181.3,
11/21/2018,303.4,10.487,28.93,104484.7,104484.7,
11/27/2018,328.9,9.061,36.3,104813.6,104813.6,
12/8/2018,127.6,6.077,21,104941.2,104941.2,
12/15/2018,267.3,8.459,31.6,105210,105208.5,
12/27/2018,241.3,6.584,36.65,105451,105451.3,
12/30/2018,419,11.98,34.97,105870,105870,
1/15/2019,351.3,10.858,32.35,106222,106221.3,
2/11/2019,603.8,21.339,28.3,106828,106825.8,
3/5/2019,216.7,9.427,22.99,107044,107044.7,
3/26/2019,332,8.991,36.93,108052,107376,
4/5/2019,229.2,7.912,28.97,108281.2,108281.2,
4/11/2019,410.4,12.104,33.91,108691.6,108691.6,
5/5/2019,285.2,10.578,26.96,108976.8,108976.8,
5/12/2019,362.8,9.593,37.82,109339.6,109339.6,
5/18/2019,336.1,9.126,36.83,109676,109675.7,
6/15/2019,412.1,12.074,34.13,110088.1,110088.1,
6/21/2019,417.4,11.43,36.52,110505.5,110505.5,
7/5/2019,331.5,10.409,31.85,111598,110837,
7/6/2019,309.5,8.515,36.35,111908,111907.5,
7/30/2019,300.4,8.915,33.7,112582,112208.4,
8/4/2019,372.3,10.679,34.86,112954.3,112954.3,
8/9/2019,374.1,10.093,37.07,113328,113328.4,
9/1/2019,133.9,4.379,30.58,114030,113461.9,
10/4/2019,280,10.208,27.43,114310,114310,
10/5/2019,298.1,7.7,38.71,114608,114608.1,
10/21/2019,322.5,9.734,33.13,114931,114930.5,
11/1/2019,303.9,9.394,32.35,115235,115234.9,
11/5/2019,324.8,9.25,35.11,115560,115559.8,
11/28/2019,309.7,10.97,28.23,115869.7,115869.7,
12/7/2019,348.5,9.724,35.84,116218.2,116218.2,
2/17/2020,373.7,9.786,38.19,120341,116591.9,
2/27/2020,379.9,11.774,32.27,121122,120720.9,
3/15/2020,314,9.168,34.25,121794,121436,
